Project_Name,Customer_Name,lat,lon
ABSURD BALL,Wonka Industries,27.964157,-82.452606
ABSURD BALL,Wonka Industries,27.964157,-82.452606
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
VERUCA SALT,Wonka Industries,27.773056,-82.639999
CEASELESS CHOCOLATE,Wonka Industries,28.364725,-82.195915
WRONG FURNITURE,Acme Corp,28.2336196,-82.1811947
WRONG FURNITURE,Acme Corp,28.2336196,-82.1811947
WRONG FURNITURE,Acme Corp,28.2336196,-82.1811947
WRONG FURNITURE,Acme Corp,28.2336196,-82.1811947
ABORIGINAL TURN,Acme Corp,27.9,-82.1811947
ABORIGINAL TURN,Acme Corp,27.9,-82.1811947
NOISY LAMP,Acme Corp,27.9,-82.1811947
NOISY LAMP,Acme Corp,27.9,-82.1811947
NOISY LAMP,Acme Corp,27.9,-82.1811947
NOISY LAMP,Acme Corp,27.9,-82.1811947
NOISY LAMP,Acme Corp,27.9,-82.1811947
FEARLESS FOOD,Acme Corp,27.9,-82.1811947
FEARLESS FOOD,Acme Corp,27.9,-82.1811947
FEARLESS FOOD,Acme Corp,27.9,-82.1811947
FEARLESS FOOD,Acme Corp,27.9,-82.1811947
DIFFERENT IRON MAN,Stark Industries,30.455,-84.253334
DIFFERENT IRON MAN,Stark Industries,30.455,-84.253334
DIFFERENT IRON MAN,Stark Industries,30.455,-84.253334
DIFFERENT IRON MAN,Stark Industries,30.455,-84.253334
DIFFERENT IRON MAN,Stark Industries,30.455,-84.253334
DIFFERENT IRON MAN,Stark Industries,30.455,-84.253334
DIFFERENT IRON MAN,Stark Industries,30.455,-84.253334
DIFFERENT IRON MAN,Stark Industries,30.455,-84.253334
PEPPER POT,Stark Industries,30.455,-84.253334
PEPPER POT,Stark Industries,30.455,-84.253334
PEPPER POT,Stark Industries,30.455,-84.253334
PEPPER POT,Stark Industries,30.455,-84.253334
PEPPER POT,Stark Industries,30.455,-84.253334
PEPPER POT,Stark Industries,30.455,-84.253334
HERMIONE TEMPER,Olivander's Wand Shop,25.761681,-80.191788
HERMIONE TEMPER,Olivander's Wand Shop,25.761681,-80.191788
HERMIONE TEMPER,Olivander's Wand Shop,25.761681,-80.191788
UNRULY RON,Olivander's Wand Shop,25.761681,-80.191788
UNRULY RON,Olivander's Wand Shop,25.761681,-80.191788
UNRULY RON,Olivander's Wand Shop,25.761681,-80.191788
PERFECT HARRY,Olivander's Wand Shop,25.761681,-80.191788
PERFECT HARRY,Olivander's Wand Shop,25.761681,-80.191788
PERFECT HARRY,Olivander's Wand Shop,25.761681,-80.191788
PERFECT HARRY,Olivander's Wand Shop,25.761681,-80.191788
PERFECT HARRY,Olivander's Wand Shop,25.761681,-80.191788
RAPID DAUGHTER,Gekko and Co,24.55505,-81.779984
